target_slug,target_name,score_set,rater_id,rater_lens,category,factor,score,evidence_label,rationale,category_subtotal,total_score
figma-sites,Figma Sites,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,proprietary_advantage,context,4,Direct evidence,"Figma Sites reuses shared components, variables, and file context from the design workflow instead of starting from a blank website canvas.",19,53
figma-sites,Figma Sites,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,proprietary_advantage,context,4,Direct evidence,"Figma Sites reuses shared components, variables, and file context from the design workflow instead of starting from a blank website canvas.",18,47
figma-sites,Figma Sites,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,proprietary_advantage,trust,4,Direct evidence,"Sites inherits Figma's organization-level security and account controls, which matter for teams already standardizing on the broader platform.",19,53
figma-sites,Figma Sites,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,proprietary_advantage,trust,4,Direct evidence,"Sites inherits Figma's organization-level security and account controls, which matter for teams already standardizing on the broader platform.",18,47
figma-sites,Figma Sites,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,proprietary_advantage,distribution,5,Direct evidence,"Figma already sits inside many product and brand design teams, so Sites can piggyback on an existing collaboration footprint.",19,53
figma-sites,Figma Sites,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,proprietary_advantage,distribution,5,Direct evidence,"Figma already sits inside many product and brand design teams, so Sites can piggyback on an existing collaboration footprint.",18,47
figma-sites,Figma Sites,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,proprietary_advantage,judgment,3,Inference,"The tool preserves design intent well, but scarce website strategy and performance judgment still live largely with the team using it.",19,53
figma-sites,Figma Sites,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,proprietary_advantage,judgment,3,Inference,"The tool preserves design intent well, but scarce website strategy and performance judgment still live largely with the team using it.",18,47
figma-sites,Figma Sites,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,proprietary_advantage,liability_governance,3,Direct evidence,"Team and org controls exist, but public evidence still points to lighter publishing governance than the more operations-heavy web platforms.",19,53
figma-sites,Figma Sites,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,proprietary_advantage,liability_governance,2,Direct evidence + Observed task evidence,"Team and org controls exist, but public evidence still points to lighter publishing governance than the more operations-heavy web platforms. Observed task evidence. The live product path exposed lighter publish control than the desk read assumed, and Starter-plan restrictions blocked a real publish outcome in both runs.",18,47
figma-sites,Figma Sites,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,workflow_criticality,frequency,4,Inference,"Teams that already work in Figma can use Sites in recurring launch and update cycles, though not every Figma user publishes sites regularly.",18,53
figma-sites,Figma Sites,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,workflow_criticality,frequency,4,Inference,"Teams that already work in Figma can use Sites in recurring launch and update cycles, though not every Figma user publishes sites regularly.",16,47
figma-sites,Figma Sites,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,workflow_criticality,operational_dependence,3,Inference,"Sites can matter materially for launch velocity, but it is not yet the default operating system for public web programs in the way deeper incumbents can be.",18,53
figma-sites,Figma Sites,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,workflow_criticality,operational_dependence,2,Inference + Observed task evidence,"Sites can matter materially for launch velocity, but it is not yet the default operating system for public web programs in the way deeper incumbents can be. Observed task evidence. The task phase did not show Sites acting like a central operating layer for recurring website work; it behaved more like an adjacent surface.",16,47
figma-sites,Figma Sites,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,workflow_criticality,system_position,4,Direct evidence,The product sits at the handoff point between design intent and publishable website output rather than only at ideation time.,18,53
figma-sites,Figma Sites,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,workflow_criticality,system_position,3,Direct evidence + Observed task evidence,"The product sits at the handoff point between design intent and publishable website output rather than only at ideation time. Observed task evidence. The blank-site path routed into code-component Make and the alternate path was template-first, which weakened the direct system-of-action read for this protocol.",16,47
figma-sites,Figma Sites,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,workflow_criticality,switching_cost,3,Inference,"Teams with established Figma systems gain reuse, but the published site layer remains portable enough that migration risk is still moderate.",18,53
figma-sites,Figma Sites,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,workflow_criticality,switching_cost,3,Inference,"Teams with established Figma systems gain reuse, but the published site layer remains portable enough that migration risk is still moderate.",16,47
figma-sites,Figma Sites,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,workflow_criticality,budget_durability,4,Inference,"Sites benefits from Figma's existing seat budget, which makes it more durable than a standalone experimental AI subscription.",18,53
figma-sites,Figma Sites,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,workflow_criticality,budget_durability,4,Inference,"Sites benefits from Figma's existing seat budget, which makes it more durable than a standalone experimental AI subscription.",16,47
figma-sites,Figma Sites,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,ai_resilience_tests,model_improvement_test,4,Inference,Better models should improve iteration speed and content generation inside the same shared design context instead of bypassing it entirely.,16,53
figma-sites,Figma Sites,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,ai_resilience_tests,model_improvement_test,4,Inference,Better models should improve iteration speed and content generation inside the same shared design context instead of bypassing it entirely.,13,47
figma-sites,Figma Sites,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,ai_resilience_tests,wrapper_risk_test,3,Inference,"Sites is deeper than a generator because it carries team context and design systems, but the web publishing surface is still young enough to face copycat pressure.",16,53
figma-sites,Figma Sites,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,ai_resilience_tests,wrapper_risk_test,3,Inference,"Sites is deeper than a generator because it carries team context and design systems, but the web publishing surface is still young enough to face copycat pressure.",13,47
figma-sites,Figma Sites,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,ai_resilience_tests,agent_readiness_test,4,Direct evidence,"The broader Figma stack already exposes strong design-to-code and agent-facing surfaces, which helps Sites fit agent-assisted workflows.",16,53
figma-sites,Figma Sites,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,ai_resilience_tests,agent_readiness_test,3,Direct evidence + Observed task evidence,"The broader Figma stack already exposes strong design-to-code and agent-facing surfaces, which helps Sites fit agent-assisted workflows. Observed task evidence. Agent-adjacent potential remained theoretical in the task phase because the observed site workflow did not expose a strong brief-driven or change-driven agent path.",13,47
figma-sites,Figma Sites,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,ai_resilience_tests,accountability_test,2,Inference,"The product influences what gets shipped, but it does not own uptime, conversion, or downstream business execution once the site is live.",16,53
figma-sites,Figma Sites,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,ai_resilience_tests,accountability_test,1,Inference + Observed task evidence,"The product influences what gets shipped, but it does not own uptime, conversion, or downstream business execution once the site is live. Observed task evidence. The product influenced drafts but did not validate accountable publish or governed follow-up workflow under the observed plan and product path.",13,47
figma-sites,Figma Sites,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,ai_resilience_tests,outcome_depth_test,3,Inference,"Sites can accelerate launches and improve consistency, but real business outcomes still depend on external content, traffic, and experimentation loops.",16,53
figma-sites,Figma Sites,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,ai_resilience_tests,outcome_depth_test,2,Inference + Observed task evidence,"Sites can accelerate launches and improve consistency, but real business outcomes still depend on external content, traffic, and experimentation loops. Observed task evidence. Because creation and publish both blocked on workflow fit or plan limits, the task phase did not support the stronger business-outcome read from the desk pass.",13,47
figma-sites,Figma Sites,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",proprietary_advantage,context,4,Direct evidence,"Figma Sites reuses shared components, variables, and file context from the design workflow instead of starting from a blank website canvas.",18,51
figma-sites,Figma Sites,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",proprietary_advantage,trust,4,Direct evidence,"Sites inherits Figma's organization-level security and account controls, which matter for teams already standardizing on the broader platform.",18,51
figma-sites,Figma Sites,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",proprietary_advantage,distribution,5,Direct evidence,"Figma already sits inside many product and brand design teams, so Sites can piggyback on an existing collaboration footprint.",18,51
figma-sites,Figma Sites,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",proprietary_advantage,judgment,3,Inference,"The tool preserves design intent well, but scarce website strategy and performance judgment still live largely with the team using it.",18,51
figma-sites,Figma Sites,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",proprietary_advantage,liability_governance,2,Direct evidence,"Team and org controls exist, but public evidence still points to lighter publishing governance than the more operations-heavy web platforms.",18,51
figma-sites,Figma Sites,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",workflow_criticality,frequency,4,Inference,"Teams that already work in Figma can use Sites in recurring launch and update cycles, though not every Figma user publishes sites regularly.",17,51
figma-sites,Figma Sites,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",workflow_criticality,operational_dependence,2,Inference,"Sites can matter materially for launch velocity, but it is not yet the default operating system for public web programs in the way deeper incumbents can be.",17,51
figma-sites,Figma Sites,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",workflow_criticality,system_position,4,Direct evidence,The product sits at the handoff point between design intent and publishable website output rather than only at ideation time.,17,51
figma-sites,Figma Sites,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",workflow_criticality,switching_cost,3,Inference,"Teams with established Figma systems gain reuse, but the published site layer remains portable enough that migration risk is still moderate.",17,51
figma-sites,Figma Sites,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",workflow_criticality,budget_durability,4,Inference,"Sites benefits from Figma's existing seat budget, which makes it more durable than a standalone experimental AI subscription.",17,51
figma-sites,Figma Sites,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",ai_resilience_tests,model_improvement_test,4,Inference,Better models should improve iteration speed and content generation inside the same shared design context instead of bypassing it entirely.,16,51
figma-sites,Figma Sites,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",ai_resilience_tests,wrapper_risk_test,3,Inference,"Sites is deeper than a generator because it carries team context and design systems, but the web publishing surface is still young enough to face copycat pressure.",16,51
